name,link,price,year,mileage,miles_pa,owners,distance,location,engine,transmission,fuel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402216796165?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,7750,2014.0,24000.0,2400,6,109,Nottingham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402287028527?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=21&postcode=E1%206AN&advertising-location=at_cars&fromsra,7795,2015.0,60000.0,6666,2,171,Garden City,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202306299079681?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,7990,2012.0,36364.0,3030,-1,112,Willenhall,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403227870053?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=43&postcode=E1%206AN&advertising-location=at_cars&fromsra,7990,2012.0,48305.0,4025,-1,77,Swindon,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402026159614?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=14&postcode=E1%206AN&advertising-location=at_cars&fromsra,7995,2014.0,42674.0,4267,2,94,Gloucester,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403107419380?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=25&postcode=E1%206AN&advertising-location=at_cars&fromsra,7995,2014.0,70250.0,7025,1,94,Solihull,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402176680232?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,7995,2013.0,52000.0,4727,2,171,Bradford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402246896418?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=28&postcode=E1%206AN&advertising-location=at_cars&fromsra,7999,2018.0,94000.0,15666,2,9,Eltham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403288056838?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=15&postcode=E1%206AN&advertising-location=at_cars&fromsra,8000,2015.0,69000.0,7666,-1,125,Stafford,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403087373926?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,8000,2015.0,49447.0,5494,1,65,Ipswich,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402206778955?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=47&postcode=E1%206AN&advertising-location=at_cars&fromsra,8190,2014.0,62300.0,6230,1,76,Romsey,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202310273389622?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=4&postcode=E1%206AN&advertising-location=at_cars&fromsra,8199,2014.0,50000.0,5000,-1,46,"Hothfield, Ashford",1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403298115173?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=15&postcode=E1%206AN&advertising-location=at_cars&fromsra,8275,2014.0,33000.0,3300,2,171,Bradford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403298108186?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=19&postcode=E1%206AN&advertising-location=at_cars&fromsra,8286,2015.0,60895.0,6766,1,167,Chester,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401316104349?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=42&postcode=E1%206AN&advertising-location=at_cars&fromsra,8350,,42000.0,0,-1,325,Lisburn,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402226845780?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=13&postcode=E1%206AN&advertising-location=at_cars&fromsra,8394,2018.0,96000.0,16000,-1,30,Kent,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403017117482?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=13&postcode=E1%206AN&advertising-location=at_cars&fromsra,8490,2013.0,48547.0,4413,2,166,Warrington,1.6L,Automatic,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402196732835?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=11&postcode=E1%206AN&advertising-location=at_cars&fromsra,8490,2015.0,60000.0,6666,2,153,Crewe,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202311113862359?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=5&postcode=E1%206AN&advertising-location=at_cars&fromsra,8491,2013.0,33000.0,3000,2,48,Bromham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202307079397006?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=13&postcode=E1%206AN&advertising-location=at_cars&fromsra,8500,2017.0,93000.0,13285,1,65,Ipswich,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202308100659683?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=14&postcode=E1%206AN&advertising-location=at_cars&fromsra,8500,2018.0,96000.0,16000,1,36,Wokingham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403137534687?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=7&postcode=E1%206AN&advertising-location=at_cars&fromsra,8550,2015.0,36000.0,4000,-1,62,Northampton,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403047206848?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=39&postcode=E1%206AN&advertising-location=at_cars&fromsra,8590,2018.0,91800.0,15300,2,168,Warrington,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402206752660?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=3&postcode=E1%206AN&advertising-location=at_cars&fromsra,8750,2016.0,83548.0,10443,2,48,Newport Pagnell,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403147552247?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=26&postcode=E1%206AN&advertising-location=at_cars&fromsra,8945,2015.0,57023.0,6335,-1,61,Waterlooville,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401265918993?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=26&postcode=E1%206AN&advertising-location=at_cars&fromsra,8981,2012.0,32738.0,2728,-1,76,Peterborough,1.6L,Automatic,Diesel
